gene,damage_score,gnomAD_SAS_AF,Variant_Classification,log2FoldChange,padj,direction,MutExpress_Priority
ALAS2,3.0,0.0,Missense_Mutation,-2.85641461702962,5.56024730228253e-81,DOWN,HIGH
ALDH1A1,3.0,0.0,"Missense_Mutation, Frame_Shift_Del",-2.54871434472791,3.1995579222034803e-93,DOWN,HIGH
ALDH1A3,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",-1.724032517361,4.88982500114768e-35,DOWN,HIGH
ALDH1L1,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",-4.78000444039554,2.43540447468389e-136,DOWN,HIGH
ALDOC,3.0,0.0,Missense_Mutation,-1.91512444817866,1.09443357347279e-39,DOWN,HIGH
ALPK3,3.0,0.0,Missense_Mutation,-2.54991706163786,2.50864986164852e-138,DOWN,HIGH
ALPP,3.0,0.0,Missense_Mutation,2.42140544812997,1.82672904192259e-14,UP,HIGH
ALX4,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",-2.33292441548189,2.89443751649956e-34,DOWN,HIGH
AMPD1,3.0,0.0,Missense_Mutation,-2.03831312307546,1.1264393214384502e-25,DOWN,HIGH
ANGPTL1,3.0,0.0,Missense_Mutation,-3.01380837664591,4.671024273066e-86,DOWN,HIGH
ANGPTL5,3.0,0.0,Missense_Mutation,-4.10713735034037,1.2978762177684701e-97,DOWN,HIGH
ANGPTL7,3.0,0.0,Missense_Mutation,-4.07885314727383,5.90206743524039e-56,DOWN,HIGH
ANK2,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",-2.34940145234663,4.65163840707247e-91,DOWN,HIGH
ANKRD34B,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",1.69509915382295,3.11731647580083e-11,UP,HIGH
ANLN,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",3.35850062128485,5.02832829755872e-166,UP,HIGH
ANO3,3.0,0.0,Missense_Mutation,-1.60952523260248,7.49217313558862e-11,DOWN,HIGH
ANO6,3.0,0.0,Missense_Mutation,-1.50501611447104,1.6204724868406801e-113,DOWN,HIGH
ANXA1,3.0,0.0,Missense_Mutation,-2.32711503992886,7.66307063388256e-104,DOWN,HIGH
AOC2,3.0,0.0,Missense_Mutation,-2.27469508148693,6.35968672463521e-73,DOWN,HIGH
AOC3,3.0,3.268e-05,"Missense_Mutation, Nonsense_Mutation",-4.00802732788378,4.69234235545879e-218,DOWN,HIGH
AP1M2,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",1.54784147918786,4.87735195403164e-72,UP,HIGH
APCDD1,3.0,0.0,Missense_Mutation,-2.16434745067605,3.73088880623867e-79,DOWN,HIGH
APLP1,3.0,0.0,Missense_Mutation,2.49032552070051,8.52340598286251e-45,UP,HIGH
APOB,3.0,0.0,"Missense_Mutation, Frame_Shift_Del, Nonsense_Mutation",-5.42132527586297,7.4522682421154005e-149,DOWN,HIGH
ARHGAP11A,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",2.20685846619784,5.09145590659306e-106,UP,HIGH
ARHGAP20,3.0,0.0,Missense_Mutation,-3.10283572271042,1.35546690419283e-166,DOWN,HIGH
ARHGAP39,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",1.66421735949299,1.8345555283140301e-93,UP,HIGH
ARHGEF15,3.0,0.0,"Missense_Mutation, Frame_Shift_Ins",-1.86896856997656,1.27050501517048e-96,DOWN,HIGH
ARL14,3.0,0.0,Missense_Mutation,2.78917604818582,5.76425326211109e-17,UP,HIGH
ARMC3,3.0,0.0,Missense_Mutation,2.82421602599603,1.9363522680679198e-49,UP,HIGH
ARNT2,3.0,0.0,Missense_Mutation,2.02761094355914,4.13891745585541e-46,UP,HIGH
ASB5,3.0,0.0,"Missense_Mutation, Frame_Shift_Del",-1.84712746488164,1.07889499622142e-09,DOWN,HIGH
ASPM,3.0,0.0,"Missense_Mutation, Frame_Shift_Del",3.52583500536926,2.80495639490378e-174,UP,HIGH
ASPN,3.0,0.0,Missense_Mutation,1.80522373502285,1.3909866311903798e-29,UP,HIGH
ASTN1,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",-1.9489111267137,9.07234168661462e-26,DOWN,HIGH
ASZ1,3.0,0.0,Missense_Mutation,2.4821711155962,5.40902216417007e-14,UP,HIGH
ATAD2,3.0,0.0,"Missense_Mutation, Nonsense_Mutation",1.94560214109151,1.25381971925628e-83,UP,HIGH
ATF3,3.0,0.0,Missense_Mutation,-2.10302702782586,4.43281698338618e-49,DOWN,HIGH
ATP1A2,3.0,0.0,Missense_Mutation,-4.52255658759479,6.94395556936744e-106,DOWN,HIGH
ATP1A3,3.0,0.0,Missense_Mutation,2.6651558773628,7.49560935513418e-45,UP,HIGH
ATP2B3,3.0,0.0,Missense_Mutation,1.5726224001893,5.277756120066209e-11,UP,HIGH
AURKA,3.0,0.0,Missense_Mutation,3.06509419294464,4.4952159956160405e-171,UP,HIGH
AURKB,3.0,0.0,Missense_Mutation,3.37351878516297,3.8426073659516605e-148,UP,HIGH
B3GNT4,3.0,0.0,Missense_Mutation,2.01225286660564,1.3635759245788e-33,UP,HIGH
B4GALNT4,3.0,0.0,Missense_Mutation,1.91530920529478,3.80196837969502e-63,UP,HIGH
