"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000910","cytokinesis","31/1572","195/18860",0.158974358974359,1.90728779278398,3.84026859176233,0.000363640622547783,0.00613135442428755,0.00492409531184119,"ANLN/AURKA/AURKB/BRCA2/CDCA8/CIT/DCDC1/DRD2/E2F7/ECT2/IQGAP3/KIF23/KLHL13/NUSAP1/PLK1/PRC1/SPTBN1/SSTR5/TEX14/FSD1/KIF4B/MRGPRX2/TAS2R13/BIRC5/CEP55/CXCR5/ESPL1/KIF14/KIF20A/KIF4A/RACGAP1",31
"GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway","31/1572","195/18860",0.158974358974359,1.90728779278398,3.84026859176233,0.000363640622547783,0.00613135442428755,0.00492409531184119,"ADCYAP1R1/ADRA1A/ADRB3/AKAP6/APLP1/CXCR3/GHRH/GNAI1/GPR15/GPR6/HTR1D/NOS1/PDE3B/PRKAR2B/PTGFR/RAPGEF3/S1PR1/VIP/GNG2/LHCGR/MRAP/ADRB2/AVPR2/CALCA/GALR1/GHRHR/GPR26/HTR1E/IAPP/PF4/PTH1R",31
"GO:0070167","regulation of biomineral tissue development","20/1572","105/18860",0.19047619047619,2.28522961347389,3.9822641417847,0.000377648848593166,0.00634836814457368,0.00509837919248479,"ANO6/ASPN/BMPR1B/CYP27B1/DDR2/DMP1/ECM1/FBN2/NELL1/NOTUM/OSR1/PKDCC/S1PR1/COMP/GPM6B/ADRB2/AMELX/BMP2/BMP6/KL",20
"GO:0003044","regulation of systemic arterial blood pressure mediated by a chemical signal","13/1572","54/18860",0.240740740740741,2.8882763170295,4.19012939322186,0.000385980835344773,0.00646325461694264,0.00519064460414409,"ADRA1A/ADRB3/CTSG/CYP11B2/EDNRB/PCSK5/AVPR1A/CORIN/EDN3/TACR1/ADRB2/AVPR2/MME",13
"GO:0051225","spindle assembly","24/1572","137/18860",0.175182481751825,2.10174402407088,3.90271190000785,0.000386799326654514,0.00646325461694264,0.00519064460414409,"ASPM/AURKA/AURKB/CDCA8/KIF11/KIF15/KIF23/KIFC1/MAPK15/MYBL2/PLK1/PRC1/SKA1/SKA3/SPAG5/STIL/UHRF1/CDC20/KIF4B/TPX2/BIRC5/CCDC69/KIF4A/RACGAP1",24
"GO:0048568","embryonic organ development","61/1572","472/18860",0.129237288135593,1.5505186095657,3.65248953485723,0.000395107064010942,0.00658236574401513,0.00528630283914718,"ALDH1A3/ALX4/CDH23/COL11A1/COL2A1/E2F7/EGFR/EPAS1/FBN2/FBN3/GATA3/HOXA7/HOXB5/HOXB9/KIT/KRT19/LBX1/LHX1/MYCN/MYO3B/NKX3-2/OSR1/PAX5/PCSK5/PKDCC/PLK4/PLXNA4/PROX1/SIX4/SLC44A4/SLITRK6/SOBP/SPRY2/STIL/TBX15/TBX20/TGFBR2/TH/TPO/USH1G/ALDH1A2/DLX2/DLX6/HOXA4/HOXA5/HYAL1/LHFPL5/MFAP5/TCF21/WNT7B/ZIC1/CHRNA9/CLRN1/DLX5/EFEMP1/FOXG1/GRXCR2/HOXA2/LLGL2/NEUROD1/NR4A3",61
"GO:1904427","positive regulation of calcium ion transmembrane transport","14/1572","61/18860",0.229508196721311,2.75351437033329,4.13637683312866,0.000396360114412914,0.00658358868612641,0.00528728498486902,"ADCYAP1R1/AKAP6/CD19/CX3CL1/CXCR3/F2/HAP1/JPH2/NTSR1/P2RX5/CAV1/MS4A1/P2RX2/LACRT",14
"GO:1903034","regulation of response to wounding","29/1572","179/18860",0.162011173184358,1.94372183604134,3.82546016010509,0.000402378092209746,0.00666371552707001,0.00535163491060159,"ANO6/ANXA1/DDR2/F2/KANK1/KIAA0319/KLF4/KRT1/MMRN1/MYLK/PROC/TFPI/TNR/VIL1/ANGPT1/CAV1/CD36/FGG/KNG1/PLAUR/PROS1/ADAMTS18/F12/F7/FAP/FERMT2/FGF2/PF4/SPP1",29
"GO:0002052","positive regulation of neuroblast proliferation","9/1572","29/18860",0.310344827586207,3.72334824953935,4.42566678300856,0.00040889686149876,0.00675163723084196,0.00542224489648621,"ASPM/CX3CL1/DRD2/SOX10/WDR62/DMRTA2/DCT/FGF2/FOXG1",9
"GO:0010882","regulation of cardiac muscle contraction by calcium ion signaling","10/1572","35/18860",0.285714285714286,3.42784442021083,4.3351148427659,0.000415465205653281,0.00683985637979635,0.00549309376081873,"ANK2/ATP1A2/CASQ2/DMD/JPH1/JPH2/NOS1/TNNI3/TRDN/JPH3",10
