"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","direction"
522.961143972714,1.59255001517944,0.117867896529577,13.5113127668298,1.34108512501027e-41,1.19775862755729e-40,"A1BG","UP"
608.184527218501,3.2916606988017,0.264818412683379,12.4298785173116,1.79907548185109e-35,1.29541410328727e-34,"A2ML1","UP"
7.50697246250569,1.96312542019368,0.251749393367825,7.79793505728691,6.29283777943878e-15,1.97287795762662e-14,"AACSP1","UP"
51.2581719017764,-3.80210059969804,0.296932956342728,-12.8045759774457,1.54567802373685e-37,1.20284642648022e-36,"AADAC","DOWN"
2.67755188165411,-2.93344088306688,0.345032546841157,-8.50192513698526,1.86472059681301e-17,6.51334587571904e-17,"AADACL3","DOWN"
0.454907841912497,-1.66072003837452,0.226052972450592,-7.34659677495504,2.03317033146385e-13,5.92113987796573e-13,"AADACL4","DOWN"
795.923626224842,-1.68539694663464,0.0945110948321072,-17.8327946536715,3.93262950652496e-71,8.51808177281625e-70,"AASS","DOWN"
200.084950540153,-3.34636512751032,0.150320654871784,-22.2615124339673,8.72536138291541e-110,5.10041111789495e-108,"ABCA10","DOWN"
1265.84888547329,-1.51981333869548,0.0916390100780768,-16.5847856431512,8.97854715634861e-62,1.48374406822828e-60,"ABCA5","DOWN"
544.068986475328,-2.7015177505617,0.129345612533091,-20.8860408764972,7.17247290046861e-97,3.02587868801031e-95,"ABCA6","DOWN"
1009.92023564592,-3.91990096457826,0.173441966024068,-22.6006488189502,4.27051213800193e-113,2.63878194309853e-111,"ABCA8","DOWN"
595.157961463076,-3.61953730858809,0.145924002984036,-24.8042627297173,8.06410062712927e-136,8.04252562106546e-134,"ABCA9","DOWN"
359.388921195972,-2.03877582370131,0.120019169222897,-16.9870849540289,1.02350978477813e-64,1.82824736811233e-63,"ABCB1","DOWN"
12.6068363027621,-2.00163834744673,0.216805078745773,-9.23243292558599,2.64553377106305e-20,1.04766270324282e-19,"ABCB11","DOWN"
58.9458064636195,-3.53553722383924,0.192246024250318,-18.3906909785334,1.55979365787228e-75,3.84687071435552e-74,"ABCB5","DOWN"
117.213118134039,1.89398446787949,0.275381796207713,6.87766763802685,6.08404092818015e-12,1.64246713363277e-11,"ABCC12","UP"
91.147235910856,5.06909082872792,0.30868789781024,16.42141096132,1.34404624187884e-60,2.14472052590056e-59,"ABCC13","UP"
342.604383033976,-1.50679072422526,0.14979541780077,-10.0589907645194,8.38535255544959e-24,3.86450206239092e-23,"ABCC6","DOWN"
929.079044918361,-2.35469164882927,0.110643691027418,-21.2817525063021,1.6756098497071e-100,7.72853800659022e-99,"ABCC9","DOWN"
195.324942595196,-4.13873376837165,0.154189238805887,-26.8419106315326,1.04835524718154e-158,1.63277739490829e-156,"ABCD2","DOWN"
5.92887146530282,-1.53851404714162,0.197891651953491,-7.7745272827537,7.5729668490561e-15,2.36605788926473e-14,"ABCG8","DOWN"
1667.67938401297,-2.00264196912811,0.14070328693604,-14.2330858982595,5.71051815681567e-46,5.87297477918731e-45,"ABI3BP","DOWN"
2492.01689538057,-1.5095936094513,0.131283108930107,-11.4987649344516,1.3381648614756e-30,8.07122832495852e-30,"ABLIM3","DOWN"
139.673169374307,2.90990396138735,0.21117637162304,13.7794959683353,3.38628130081391e-43,3.19372254248061e-42,"ABP1","UP"
2.87036768111187,-1.77867499851659,0.200353001689306,-8.87770576691851,6.82534974590586e-19,2.53473179605019e-18,"ABRA","DOWN"
3667.99681793626,-3.67902481369036,0.120853061770884,-30.4421316248084,1.52255502533247e-203,7.21278723354896e-201,"ACACB","DOWN"
123.826563996166,-3.35161816712528,0.232270977590802,-14.4297759534552,3.36171355971586e-47,3.5854598796613e-46,"ACADL","DOWN"
402.780110585765,3.17234446057757,0.170788609094694,18.5746840927702,5.15073265093859e-77,1.31746355174007e-75,"ACAN","UP"
62.7658047404803,1.55769408955185,0.24443780824801,6.37255791449167,1.85901182448943e-10,4.61334386959132e-10,"ACCN1","UP"
126.926213026109,1.61242457854641,0.129034939872122,12.4960307661195,7.84725548372225e-36,5.73573585484925e-35,"ACCN3","UP"
2.62311947875133,3.20976599587096,0.367051706570541,8.74472434922215,2.2356075374027e-18,8.12457724037079e-18,"ACCN5","UP"
64.2835336616653,1.91582885491159,0.23457467947591,8.16724490124835,3.15511984405753e-16,1.04736160779597e-15,"ACMSD","UP"
3531.2931557639,-2.04802312883537,0.0712405534381122,-28.7479957692147,9.59546687520542e-182,2.6937200157444e-179,"ACO1","DOWN"
10.6857632484539,1.64825760675602,0.156649249007727,10.5219630301242,6.84327365154353e-26,3.4229916313781e-25,"ACRV1","UP"
10404.6439416353,-2.82009683849371,0.1146837987874,-24.5901938051562,1.6083609208854e-133,1.52385495750055e-131,"ACSL1","DOWN"
250.0433014517,-1.65243856992053,0.170362650925621,-9.6995354377408,3.02874508693366e-22,1.30684315999591e-21,"ACSM1","DOWN"
3.81219242114673,-2.61044474107755,0.264941323910933,-9.85291649691884,6.65832827647089e-23,2.94846595284657e-22,"ACSM2A","DOWN"
2.30356823895515,-2.80902106916707,0.247115719284625,-11.3672293988375,6.08897610741992e-30,3.58048170950663e-29,"ACSM2B","DOWN"
173.295707631679,-1.94440391161962,0.116103046831834,-16.7472255438389,5.93294655468966e-63,1.02049373454681e-61,"ACSM3","DOWN"
195.193927179606,-3.80384214380131,0.128999002046709,-29.487376518029,4.17939041864456e-191,1.48492435514935e-188,"ACSM5","DOWN"
3127.64882589154,-1.72273687788253,0.0666087585349298,-25.8635187890362,1.71445013827433e-147,2.05183587864315e-145,"ACSS2","DOWN"
24893.36885545,-1.5710331480776,0.103453856198187,-15.1858345914913,4.38940641430165e-52,5.53274459283842e-51,"ACTA2","DOWN"
4508.81428985689,-1.92739457208921,0.215361973032927,-8.94955848029184,3.56907018154689e-19,1.34379675426927e-18,"ACTG2","DOWN"
5.7964076224896,2.28978286418151,0.337937692520047,6.77575456915236,1.23758617383447e-11,3.27759981444468e-11,"ACTL6B","UP"
154.879074186227,6.75624290862437,0.329689551442911,20.4927419721224,2.49914217865205e-93,9.66462482999471e-92,"ACTL8","UP"
108.780949212543,2.58222864556741,0.228440740120082,11.3037133578277,1.25784309097224e-29,7.29087281305576e-29,"ACTN2","UP"
622.648356254379,-4.72845154505556,0.149334217731629,-31.6635505035634,4.93598731169384e-220,3.74131384935354e-217,"ACVR1C","DOWN"
1.62941026760433,2.49812148578497,0.398553242422959,6.26797431278672,3.65775102177086e-10,8.92229140571203e-10,"ADAM18","UP"
1399.88811402725,1.67383799175313,0.0994729070109737,16.827074246141,1.54552780347604e-63,2.69714172856805e-62,"ADAM19","UP"
8.76332509436883,1.73837205300056,0.475810957158131,3.65349310865666,0.000258696734844129,0.000432187572817622,"ADAM2","UP"
419.025763758996,-2.70665228125956,0.146786336531182,-18.4394020943808,6.34388504240075e-76,1.58172809187665e-74,"ADAM33","DOWN"
1325.28156271644,2.26879077102605,0.108117386478566,20.9845136376454,9.08476255354948e-98,3.91246999441594e-96,"ADAM8","UP"
539.718510360754,3.07503581867357,0.183421037807332,16.7649025184539,4.40736447060235e-63,7.59810922646148e-62,"ADAMDEC1","UP"
4216.72022022849,-2.2497298018838,0.125188037133644,-17.9708049858,3.29892970440932e-72,7.4789992570851e-71,"ADAMTS1","DOWN"
395.130197003338,3.06508635015026,0.123728492971028,24.7726798940966,1.7664948842043e-135,1.72396253956745e-133,"ADAMTS14","UP"
196.717774316869,-1.6252469398397,0.184624740129205,-8.80297482722147,1.33236453574794e-18,4.88576635677672e-18,"ADAMTS18","DOWN"
141.467548524658,2.30513768979653,0.225557815629793,10.2197198680978,1.61807799831814e-24,7.67330043873957e-24,"ADAMTS19","UP"
11.3956104061655,4.26147077104399,0.317566715790084,13.4191354419551,4.67130986376734e-41,4.08541980739252e-40,"ADAMTS20","UP"
1455.25339961355,-3.04870463985741,0.116208266308489,-26.2348345492416,1.06476061617043e-151,1.41588255269588e-149,"ADAMTS5","DOWN"
49.5001805563843,-3.2507902235466,0.148297797134813,-21.9206912466232,1.64933927448383e-106,8.84535984964335e-105,"ADAMTS9-AS2","DOWN"
564.00774400019,1.63299173968762,0.100663378006165,16.2223022119088,3.50795464766785e-59,5.38968788738643e-58,"ADAMTSL2","UP"
963.847444119975,-1.83831859887229,0.119006355979789,-15.4472303914969,7.87554799330984e-54,1.04665158281632e-52,"ADAMTSL4","DOWN"
6.33235900831153,2.06159226045507,0.489929516228554,4.2079364320098,2.57713335966902e-05,4.63142618078826e-05,"ADARB2-AS1","UP"
718.213025636623,-1.7559331332419,0.0969553707412614,-18.1107361027771,2.62218654838009e-73,6.10921105774742e-72,"ADCY4","DOWN"
209.423713566326,-2.64198438051998,0.144300050926941,-18.3089636042999,7.01930724967258e-75,1.71257540290027e-73,"ADCYAP1R1","DOWN"
8.83176944499134,1.82786341882673,0.238515717517068,7.66349252726258,1.80943802140139e-14,5.55035898673225e-14,"ADGB","UP"
182.330031279677,-5.25590509148674,0.236104077905671,-22.2609670197505,8.83216247758588e-110,5.14960365584167e-108,"ADH1A","DOWN"
10114.3833032367,-5.1794068019322,0.252046626089211,-20.5493994595229,7.7921151771207e-94,3.06018837672794e-92,"ADH1B","DOWN"
224.381965694299,-3.74874316729234,0.211867300625352,-17.6938260705048,4.67879143431287e-70,9.7516992140092e-69,"ADH1C","DOWN"
22.9443271626956,-2.94491499212796,0.162906246489031,-18.0773607863234,4.80538214695034e-73,1.11385917063714e-71,"ADH4","DOWN"
30.3316214646346,-2.30194107047367,0.360162425155399,-6.391397074474,1.64376910181975e-10,4.08946013197803e-10,"ADH7","DOWN"
351.343416685421,-2.01172873826311,0.110532667686495,-18.2003092874677,5.13172292953924e-74,1.22831839678729e-72,"ADHFE1","DOWN"
11024.7541502477,-5.31865940840948,0.259647283240045,-20.4841712265957,2.9801249917434e-93,1.14856037605514e-91,"ADIPOQ","DOWN"
870.588825149449,2.16456044117838,0.112197123051991,19.292477224887,6.21240731581543e-83,1.85385734848198e-81,"ADM2","UP"
1022.6966971246,2.43516148584216,0.141381517417773,17.224044064023,1.7530001229323e-66,3.31902329686574e-65,"ADORA2A","UP"
39.1956758435488,-4.44877010699164,0.185071035808939,-24.0381758687751,1.10982184662451e-127,9.38150147598315e-126,"ADRA1A","DOWN"
247.600916839871,-2.83037326237185,0.12228852457827,-23.1450438390094,1.630821196049e-118,1.12033967301989e-116,"ADRB2","DOWN"
7.34338282818658,-2.74372705055639,0.20407988025177,-13.4443779914585,3.32187270917864e-41,2.92096146689919e-40,"ADRB3","DOWN"
2275.13208681057,-1.75066744248027,0.0774927522755464,-22.5913700452308,5.26881806814889e-113,3.24681989299831e-111,"ADRBK2","DOWN"
275.985842478261,4.30491123919051,0.267609301709318,16.0865530894983,3.17001871249393e-58,4.7485543809881e-57,"AFAP1-AS1","UP"
830.52950381054,-1.59149073737384,0.0787763663019798,-20.2026421385451,9.27969570636504e-91,3.38701445693475e-89,"AFAP1L1","DOWN"
174.330885847017,-2.26040235844611,0.106990530403782,-21.1271254560133,4.48004055914417e-99,1.98580199365262e-97,"AGAP11","DOWN"
44.43852477116,-2.02169938692957,0.175859750277224,-11.4960892628505,1.3802875300376e-30,8.31426705841723e-30,"AGMO","DOWN"
4012.65993551871,-1.73693902580144,0.0992155459707026,-17.5067224476529,1.27316762925874e-68,2.54622328247268e-67,"AGPAT2","DOWN"
338.571274535877,-1.76299744587491,0.125040439278478,-14.0994182046061,3.8291346788712e-45,3.81554309653165e-44,"AGPAT9","DOWN"
29913.937562321,2.37387782201688,0.200072373686124,11.8650955065943,1.79697315332567e-32,1.16149438696624e-31,"AGR2","UP"
6410.5939521251,2.34342366135976,0.218217799817626,10.7389207631928,6.6820925028036e-27,3.47857375048652e-26,"AGR3","UP"
111750.770677449,-1.55974149061004,0.0861905240129731,-18.0964381928491,3.39952944738209e-73,7.89600613932802e-72,"AHNAK","DOWN"
1.74707752878752,1.50343321247204,0.383205069452549,3.92331243065199,8.73397685799596e-05,0.000150959181950418,"AHSG","UP"
1515.87298631786,-1.81450568149474,0.0839992057031704,-21.6014623746169,1.74018626287567e-103,8.65866420821221e-102,"AIFM2","DOWN"
184.1181395364,3.18895833480607,0.146067941212857,21.8320208276159,1.1521293346595e-105,6.00877728000512e-104,"AIM1L","UP"
136.556428114551,1.99463797382929,0.171597316365535,11.6239462019343,3.11412347728308e-31,1.92215129614387e-30,"AIM2","UP"
1182.03524481611,-2.38693512581747,0.180902936872601,-13.1945626040247,9.43006213088616e-40,7.8718862993473e-39,"AK5","DOWN"
3105.7167419629,-2.70342181773939,0.118058191081059,-22.8990618353893,4.74726645385819e-116,3.14717469079538e-114,"AKAP12","DOWN"
21.2473384869222,-1.82232293711393,0.127972699346582,-14.2399351300595,5.17750943017759e-46,5.33203745166704e-45,"AKAP2","DOWN"
286.035130530638,-2.21298430242573,0.125963073569968,-17.5685162302466,4.2925299607014e-69,8.71498560503475e-68,"AKAP6","DOWN"
1291.43367615281,-3.43798226613845,0.197694035294977,-17.3904198020375,9.75173647052194e-68,1.90502350174569e-66,"AKR1C1","DOWN"
1935.88531650771,-3.13498997396814,0.214276810179887,-14.6305611481536,1.793021881088e-48,1.98594859006625e-47,"AKR1C2","DOWN"
1653.05391945661,-2.4423940483398,0.143494208602724,-17.0208545147754,5.75249523393349e-65,1.03403943971868e-63,"AKR1C3","DOWN"
6.18219127481103,-1.70893196764406,0.173950211824504,-9.82425919301655,8.85224680200065e-23,3.89872632250034e-22,"AKR1C4","DOWN"
1313.52592404998,2.58369904423154,0.193774560592993,13.3335306570937,1.47736879330836e-40,1.26961031712165e-39,"AKR7A3","UP"
180.804827020746,1.72003176170081,0.14393352669685,11.9501814564962,6.4783634000849e-33,4.26371940244662e-32,"AKR7L","UP"
11.6577706382299,-2.85641461702962,0.148502930015208,-19.2347357505816,1.89506647577684e-82,5.56024730228253e-81,"ALAS2","DOWN"
2043.73068361473,-2.54871434472791,0.123362096803388,-20.6604330728101,7.86557402925259e-95,3.19955792220348e-93,"ALDH1A1","DOWN"
255.393046008431,-2.81160958495697,0.160831435806194,-17.481716623764,1.97463890539701e-68,3.91809023296882e-67,"ALDH1A2","DOWN"
